idtrans,idprod,dateheure,method
1,7,2023-09-02 14:37:45,onsite
2,2,2023-09-03 06:18:21,online
3,4,2023-09-06 11:30:15,onsite
4,6,2023-09-04 19:42:33,online
5,1,2023-09-04 22:09:56,online
6,8,2023-09-08 07:14:29,online
7,3,2023-09-05 03:55:47,online
8,5,2023-09-01 09:25:12,onsite
9,2,2023-09-11 08:03:37,onsite
10,7,2023-09-12 16:29:04,onsite
11,1,2023-09-22 20:01:33,online
12,8,2023-09-21 23:37:18,online
13,4,2023-09-18 17:36:59,onsite
14,6,2023-09-20 15:14:27,onsite
15,3,2023-09-17 04:27:14,online
16,5,2023-09-15 21:40:09,online
17,2,2023-09-16 12:09:36,onsite
18,7,2023-09-25 09:39:14,onsite
19,1,2023-09-14 10:55:22,onsite
20,8,2023-09-23 14:53:49,onsite
21,4,2023-09-24 01:06:25,online
22,6,2023-09-13 05:47:58,online
23,3,2023-09-29 05:12:43,online
24,5,2023-09-28 16:28:10,onsite
25,2,2023-09-06 03:56:11,online
26,7,2023-09-11 02:33:46,online
27,1,2023-09-03 09:03:57,onsite
28,8,2023-09-09 06:45:14,online
29,4,2023-09-01 05:49:32,online
30,6,2023-09-02 18:12:19,onsite
31,3,2023-09-04 23:35:40,online
32,5,2023-09-05 15:40:24,online
33,2,2023-09-27 08:44:56,online
34,7,2023-09-07 12:24:37,onsite
35,1,2023-09-30 21:53:07,online
36,8,2023-09-12 11:14:59,onsite
37,4,2023-09-13 21:08:32,online
38,6,2023-09-10 14:59:28,onsite
39,3,2023-09-08 20:08:02,online
40,5,2023-09-15 16:37:48,online
41,2,2023-09-14 07:23:14,online
42,7,2023-09-16 04:52:21,online
43,1,2023-09-17 19:01:36,online
44,8,2023-09-26 19:18:47,online
45,4,2023-09-18 10:44:03,onsite
46,6,2023-09-19 00:20:29,online
47,3,2023-09-09 15:48:50,online
48,5,2023-09-26 18:15:47,online
49,2,2023-09-16 09:12:24,onsite
50,7,2023-09-12 08:42:26,onsite
